Pays, Age ,Genre,Depenses des clients
France,32.0,Female,150.5
Germany,45.0,Male,200.75
Spain,28.0,Female,75.25
Italy,39.0,Male,180.0
United Kingdom,52.0,Female,250.3
France,22.0,Male,90.0
Germany,36.0,Female,175.5
Spain,41.0,Male,120.75
Italy,29.0,Female,95.25
United Kingdom,48.0,Male,220.0
France,35.0,Female,160.25
Germany,27.0,Male,85.5
Spain,50.0,Female,190.75
Italy,33.0,Male,140.0
United Kingdom,44.0,Female,210.5
France,31.0,Male,130.25
Germany,38.0,Female,170.0
Italy,47.0,Female,200.25
United Kingdom,30.0,Male,110.5
France,42.0,,180.75
Germany,29.0,Male,100.25
Spain,55.0,Female,230.0
Italy,36.0,Male,150.75
United Kingdom,25.0,Female,80.5
France,49.0,Male,215.25
Germany,34.0,Female,145.0
Spain,40.0,Male,175.5
Italy,23.0,Female,70.25
United Kingdom,51.0,Male,240.75
France,37.0,Female,165.0
Germany,43.0,Male,195.25
Spain,28.0,Female,85.75
Italy,46.0,Male,205.5
United Kingdom,33.0,Female,135.25
France,30.0,Male,120.0
Germany,52.0,Female,225.75
Spain,35.0,Male,155.5
Italy,27.0,Female,90.25
United Kingdom,48.0,Male,210.0
France,39.0,Female,170.25
Germany,31.0,Male,125.75
Spain,44.0,Female,190.0
Italy,25.0,Male,75.5
United Kingdom,50.0,Female,220.25
France,0.0,Male,160.75
Germany,41.0,Female,185.0
Spain,29.0,Male,105.25
Italy,53.0,Female,235.5
United Kingdom,32.0,Male,140.25
USA,28.0,Female,180.0
Australia,39.0,Female,210.5
Japan,33.0,Male,145.75
Brazil,47.0,Female,195.25
Mars,-100.0,Alien,999999.99
Atlantis,1000.0,Merperson,500.0
Digital Realm,0.0,AI,1010101.01
